company,avg_salary($),salary_type
Apriori,N/A,year
Aptean,70,year
Aptera_Software,N/A,year
Aptify,N/A,year
Aptima,N/A,year
Apto_Solutions,N/A,year
Aquent%2C_LLC,80,year
Arbitration_Forums,N/A,year
ArborMetrix,84,year
Arcadia_Solutions,95,year
Archway_Technology_Partners,52,year
Arena_Solutions,N/A,year
Arete_Associates,99,year
Arete_Inc,N/A,year
Argo_Data_Corporation,N/A,year
Argosy_Publishing,N/A,year
Ariba%2C_Inc.,N/A,year
Aricent_Inc,N/A,year
Arista_Networks,117,year
Arkadium,N/A,year
Armstrong_Cable,N/A,year
Armstrong_Group_of_Companies,N/A,year
Army_National_Guard,76,year
Array_Healthcare_Facilities_Solutions,68,year
Array_Information_Technology,N/A,year
Arrow,64,year
Arrow_Electronics_Inc,83,year
Artech_Information_System_LLC,24,hour
Artel%2C_Inc.,N/A,year
Aruba_Networks,113,year
Arvato_Digital_Services%2C_Llc.,65,year
Arvig_Communication_Systems,24,hour
Ascendum,80,year
Ascentis_Corporation,62,year
Ask.Com,N/A,year
Aspect_Software_Inc,91,year
Aspect_Telecommunications,N/A,year
Aspen_Systems,N/A,year
Aspen_Technology%2C_Inc.,93,year
Aspera,N/A,year
Aspire_Systems,N/A,year
Aspyr,N/A,year
Asrc_Federal_Holding_Company,77,year
Asset_Works,N/A,year
Assurance_Technology,N/A,year
Assyst,N/A,year
Astea_International,N/A,year
Astound,84,year
Astute_Solutions,N/A,year
Asure_Software,88,year
Asurion_Corporation,83,year
Asurion_Insurance_Services%2C_Inc,85,year
Asynchrony,94,year
Asynchrony_Solutions,77,year
Atalanta,N/A,year
Athena_HealthCare%2C_Inc.,25,hour
Athenahealth%2C_Inc.,92,year
Atlantic_Broadband,18,hour
Atlantic_Media_Company,71,year
Atlas_Technologies_Inc,96,year
Atlassian,121,year
Atomic_Object_LLC,36,hour
Atos_Origin,93,year
Atpco,N/A,year
Attain_LLC,82,year
Atto_Technology,N/A,year
Auction.com,104,year
Audacious_Inquiry,N/A,year
Audatex,N/A,hour
Audible%2C_Inc.,111,year
AudienceView,N/A,year
Audio_Visual_Innovations%2C_Inc.,N/A,hour
Audiocodes_Ltd.,66,year
Author-it,N/A,year
Auto%2FMate,N/A,year
AutoLoop_LLC,51,year
Autodata_Solutions_Company,N/A,year
Autodesk%2C_Inc.,113,year
Automated_Media%2C_Inc.,N/A,hour
Automatic_Data_Processing%2C_Inc._(ADP),89,year
Automation_Anywhere,127,year
Autotask,N/A,year
Autotraders.Com,94,year
Avaap,131,year
Avail_Technologies%2C_Inc.,N/A,year
Availity%2C_LLC,84,year
Avalara,95,year
Avanade_Corporation,101,year
Avantas,N/A,year
Avatar,N/A,hour
Avaya%2C_Inc.,100,year
AvePoint,73,year
Averoinc,N/A,year
Avi-Spl%2C_Inc,86,year
Aviat_Networks,89,year
Avid%2C_Inc.,N/A,year
